Date,Message
"====================================
Chart Info: FX:GBPUSD
Timeframe: 3 Minute(s)
Timezone: America/New_York
Start Date: 2026-05-10 17:00 (Actual)
End Date: Last Candle
Data Format: YYYYMMDD HHMM;Open;High;Low;Close;Volume
===================================="
20260511 1112;1.36392;1.36394;1.36377;1.36389;582
20260511 1115;1.36389;1.36412;1.36385;1.36409;602
20260511 1118;1.36409;1.36447;1.364;1.36447;525
20260511 1121;1.36447;1.36501;1.36446;1.36499;610
20260511 1124;1.36499;1.36524;1.3649;1.36498;1013
20260511 1127;1.36498;1.36534;1.36457;1.36469;893
20260511 1130;1.36469;1.36489;1.36446;1.36446;768
20260511 1133;1.36446;1.36476;1.36441;1.36449;726
20260511 1136;1.36449;1.3649;1.36448;1.36488;557
20260511 1139;1.36488;1.36506;1.36486;1.36504;434
20260511 1142;1.36504;1.36514;1.36442;1.36456;753
20260511 1145;1.36456;1.36487;1.36439;1.36484;1305
20260511 1148;1.36484;1.36493;1.36451;1.36454;748
20260511 1151;1.36454;1.36502;1.3645;1.36488;580
20260511 1154;1.36488;1.36523;1.36481;1.36507;501
20260511 1157;1.36507;1.36512;1.36492;1.36496;462
20260511 1200;1.36496;1.36498;1.36468;1.36471;550
20260511 1203;1.36471;1.36481;1.36467;1.36467;374
20260511 1206;1.36467;1.3647;1.36448;1.36452;411
20260511 1209;1.36452;1.36475;1.36449;1.36466;349
20260511 1212;1.36466;1.36474;1.36456;1.36468;387
20260511 1215;1.36468;1.3647;1.36445;1.36446;284
20260511 1218;1.36446;1.36449;1.36436;1.36446;211
20260511 1221;1.36446;1.36446;1.36425;1.36428;239
20260511 1224;1.36428;1.3643;1.36418;1.36426;212
20260511 1227;1.36426;1.36427;1.36408;1.3642;448
20260511 1230;1.3642;1.36447;1.36416;1.36437;402
20260511 1233;1.36437;1.36453;1.36431;1.3644;368
20260511 1236;1.3644;1.36472;1.36438;1.36466;367
20260511 1239;1.36466;1.36472;1.36422;1.36422;651
20260511 1242;1.36422;1.36427;1.36377;1.3642;1491
20260511 1245;1.3642;1.3643;1.36399;1.36421;720
20260511 1248;1.36421;1.3644;1.36402;1.36435;559
20260511 1251;1.36435;1.36446;1.36429;1.36438;478
20260511 1254;1.36438;1.36442;1.36388;1.36401;606
20260511 1257;1.36401;1.36423;1.36377;1.3641;756
20260511 1300;1.3641;1.36421;1.3637;1.36377;783
20260511 1303;1.36377;1.36405;1.36358;1.36397;779
20260511 1306;1.36397;1.36414;1.36379;1.36401;479
20260511 1309;1.36401;1.36408;1.36377;1.36391;533
20260511 1312;1.36391;1.36415;1.36374;1.36415;384
20260511 1315;1.36415;1.36428;1.36409;1.36417;468
